nama;rumuskimia;kilap;warna;cerat;transparansi;mohs;belahan;pecahan;bj;magnet;hcl;desc;image
Sericite;KAl₂(AlSi₃O₁₀)(OH)₂;Sutera;Putih / Tidak berwarna | Hijau;Putih / Tidak berwarna;Translusen;2-3;Sempurna 1 arah;Tidak rata;Ringan (<3);Tidak magnetik;Tidak bereaksi;"Hasil alterasi hidrotermal/metamorfisme feldspar, umum pada zona alterasi filik endapan porfiri; berasosiasi dengan kuarsa, pirit, klorit.";images/Sericite 1.png|images/Sericite 2.png|images/Sericite 3.png
Kuarsa;SiO₂;Kaca;Tidak berwarna | Putih / Tidak berwarna | Ungu | Cokelat | Kuning;Putih / Tidak berwarna;Transparan | Translusen;7;Tidak ada;Konkoidal;Ringan (<3);Tidak magnetik;Tidak bereaksi;"Hadir hampir universal: granit, batupasir, kuarsit, urat hidrotermal; berasosiasi dengan feldspar, mika, pirit, kalsit.";images/Kuarsa 1.png|images/Kuarsa 2.png|images/Kuarsa 3.png
Kalsit;CaCO₃;Kaca | Mutiara;Putih / Tidak berwarna;Putih / Tidak berwarna;Transparan | Translusen;3;Sempurna 3 arah;Konkoidal;Ringan (<3);Tidak magnetik;Bereaksi;"Umum pada batugamping, marmer, urat hidrotermal, speleotem gua; berasosiasi dengan dolomit, aragonit, kuarsa, gipsum.";images/Kalsit 1.png|images/Kalsit 2.png|images/Kalsit 3.png
Aragonit;CaCO₃;Kaca ;Putih / Tidak berwarna;Putih / Tidak berwarna;Transparan | Translusen;3,5-4;Tidak sempurna;Subkonkoidal;Ringan (<3);Tidak magnetik;Bereaksi;"Terbentuk pada sedimen laut, cangkang moluska/koral, endapan gua; berasosiasi dengan kalsit, gipsum, sedimen evaporit.";images/Aragonit 1.png|images/Aragonit 2.png|images/Aragonit 3.png
Dolomit;CaMg(CO₃)₂;Kaca | Mutiara;Putih / Tidak berwarna | Krem | Merah muda;Putih / Tidak berwarna;Translusen;3,5-4;Sempurna 3 arah;Konkoidal;Ringan (<3);Tidak magnetik;Bereaksi;"Terbentuk melalui dolomitisasi batugamping; berasosiasi dengan kalsit, kuarsa, gipsum, anhidrit.";images/Dolomit 1.png|images/Dolomit 2.png|images/Dolomit 3.png
Garnet Grossular;Ca₃Al₂(SiO₄)₃;Kaca | Submetalik;Hijau | Kuning | Cokelat | Merah;Putih / Tidak berwarna;Transparan | Translusen;3,4-3,6;Tidak ada;Konkoidal;Sedang (3-4);Tidak magnetik;Tidak bereaksi;"Umum pada marmer dan skarn kalk-silikat; berasosiasi dengan diopside, wollastonite, vesuvianite, kalsit.";images/Garnet Grossular 1.png|images/Garnet Grossular 2.png|images/Garnet Grossular 3.png
Garnet Andradite;Ca₃Fe₂(SiO₄)₃;Kaca | Submetalik;Cokelat | Hijau | Hitam;Putih / Tidak berwarna;Translusen;6,5-7;Tidak ada;Konkoidal;Sedang (3-4);Tidak magnetik;Tidak bereaksi;"Khas skarn kaya besi; berasosiasi dengan magnetite, hedenbergite, epidote, kalsit.";images/Garnet Andradite 1.png|images/Garnet Andradite 2.png|images/Garnet Andradite 3.png
Garnet Almandine;Fe₃Al₂(SiO₄)₃;Kaca;Merah | Cokelat ;Putih / Tidak berwarna;Translusen;7-7,5;Tidak ada;Konkoidal;Sedang (3-4);Tidak magnetik;Tidak bereaksi;"Umum pada sekis dan gneiss metamorf regional; berasosiasi dengan biotite, muskovit, staurolite, kyanite.";images/Garnet Almandine 1.png|images/Garnet Almandine 2.png|images/Garnet Almandine 3.png
Garnet Pyrope;Mg₃Al₂(SiO₄)₃;Kaca;Merah | Ungu;Putih / Tidak berwarna;Transparan | Translusen;7-7,5;Tidak ada;Konkoidal;Sedang (3-4);Tidak magnetik;Tidak bereaksi;"Khas batuan ultramafik tekanan tinggi (peridotit, kimberlit, eklogit); berasosiasi dengan olivin, diopside kromian, enstatite, spinel.";images/Garnet Pyrope 1.png|images/Garnet Pyrope 2.png|images/Garnet Pyrope 3.png
Glauconite;K(Fe,Mg,Al)₂(Si,Al)₄O₁₀(OH)₂;Tanah | Kaca;Hijau | Hitam ;Putih / Tidak berwarna;Opak;2;Sempurna 1 arah;Tidak rata;Ringan (<3);Tidak magnetik;Tidak bereaksi;"Mineral autigenik pada sedimen laut dangkal; berasosiasi dengan kuarsa, kalsit, mineral lempung.";images/Glauconite 1.png|images/Glauconite 2.png|images/Glauconite 3.png
Epidote;Ca₂(Al,Fe)₃(SiO₄)₃(OH);Kaca;Hijau;Putih / Tidak berwarna | Abu-abu;Transparan | Translusen;6-7;Sempurna 1 arah;Tidak rata;Sedang (3-4);Tidak magnetik;Tidak bereaksi;"Terbentuk pada sekis hijau dan alterasi hidrotermal plagioklas/piroksen; berasosiasi dengan klorit, aktinolit, albite, kalsit.";images/Epidote 1.png|images/Epidote 2.png|images/Epidote 3.png
Chlorite;(Mg,Fe,Al)₆(Si,Al)₄O₁₀(OH)₈;Mutiara | Kaca;Hijau;Hijau | Putih / Tidak berwarna;Translusen;2-2,5;Sempurna 1 arah;Tidak rata;Ringan (<3);Tidak magnetik;Tidak bereaksi;"Umum pada sekis hijau/filit dan hasil alterasi mineral mafik; berasosiasi dengan aktinolit, epidote, biotite, serpentine.";images/Chlorite 1.png|images/Chlorite 2.png|images/Chlorite 3.png
Tourmaline;Na(Mg,Fe,Li,Al)₃Al₆(BO₃)₃Si₆O₁₈(OH)₄;Kaca;Hitam | Cokelat | Hijau | Merah muda | Biru;Putih / Tidak berwarna;Transparan | Translusen;7-7,5;Tidak ada;Konkoidal | Tidak rata;Sedang (3-4);Tidak magnetik;Tidak bereaksi;"Umum pada pegmatit granit dan urat hidrotermal; berasosiasi dengan kuarsa, muskovit, feldspar, beryl.";images/Tourmaline 1.png|images/Tourmaline 2.png|images/Tourmaline 3.png
Phlogopite;KMg₃(AlSi₃O₁₀)(OH)₂;Mutiara | Kaca;Cokelat;Putih / Tidak berwarna;Transparan | Translusen;2,5-3;Sempurna 1 arah;Tidak rata;Ringan (<3);Tidak magnetik;Tidak bereaksi;"Khas marmer dolomitik, skarn, dan kimberlit; berasosiasi dengan diopside, forsterite, kalsit, spinel.";images/Phlogopite 1.png|images/Phlogopite 2.png|images/Phlogopite 3.png
Zircon;ZrSiO₄;Kaca | Intan;Cokelat | Putih / Tidak berwarna | Kuning;Putih / Tidak berwarna;Transparan | Translusen;7,5;Tidak sempurna;Konkoidal;Berat (4-6);Tidak magnetik;Tidak bereaksi;"Mineral aksesori pada granit dan mineral berat resisten pada sedimen klastik; berasosiasi dengan kuarsa, feldspar, magnetite, ilmenite.";images/Zircon 1.png|images/Zircon 2.png|images/Zircon 3.png
Andalusite;Al₂SiO₅;Kaca;Cokelat | Merah | Hijau | Abu-abu;Putih / Tidak berwarna;Translusen;6,5-7,5;Sempurna 2 arah;Tidak rata;Sedang (3-4);Tidak magnetik;Tidak bereaksi;"Khas hornfels metamorfisme kontak tekanan rendah; berasosiasi dengan kordierit, muskovit, biotite, kuarsa.";images/Andalusite 1.png|images/Andalusite 2.png|images/Andalusite 3.png
Sillimanite;Al₂SiO₅;Kaca | Sutera;Putih / Tidak berwarna | Abu-abu | Cokelat ;Putih / Tidak berwarna;Translusen;6,5-7,5;Sempurna 1 arah ;Splintery;Sedang (3-4);Tidak magnetik;Tidak bereaksi;"Umum pada gneiss/sekis metamorf tingkat tinggi; berasosiasi dengan garnet almandine, kordierit, biotite, kuarsa.";images/Sillimanite 1.png|images/Sillimanite 2.png|images/Sillimanite 3.png
Kyanite;Al₂SiO₅;Mutiara | Kaca;Biru;Putih / Tidak berwarna;Translusen;4,5-5 searah | 6,5-7 tegak lurus, anisotropik;Sempurna 1 arah ;Tidak rata;Sedang (3-4);Tidak magnetik;Tidak bereaksi;"Khas sekis/gneiss metamorf regional tekanan tinggi; berasosiasi dengan garnet almandine, staurolite, muskovit.";images/Kyanite 1.png|images/Kyanite 2.png|images/Kyanite 3.png
Leucite;KAlSi₂O₆;Tanah | Kaca;Putih / Tidak berwarna | Abu-abu;Putih / Tidak berwarna;Translusen;5,5-6;Tidak sempurna;Konkoidal | Tidak rata;Ringan (<3);Tidak magnetik;Tidak bereaksi;" Khas batuan vulkanik alkalin kaya kalium miskin silika (leusitit, fonolit); berasosiasi dengan nefelin, sanidine, piroksen alkali.";images/Leucite 1.png|images/Leucite 2.png|images/Leucite 3.png
Nepheline;(Na,K)AlSiO₄;Kaca | Lemak;Putih / Tidak berwarna | Abu-abu | Hijau;Putih / Tidak berwarna;Transparan | Translusen;5,5-6;Tidak sempurna;Konkoidal;Ringan (<3);Tidak magnetik;Bereaksi;"Khas syenit nefelin dan fonolit; berasosiasi dengan sanidine, leusit, piroksen alkali, sodalite.";images/Nepheline 1.png|images/Nepheline 2.png|images/Nepheline 3.png
Pyrite;FeS₂;Metalik;Kuning | Emas;Hitam | Hijau;Opak;6-6,5;Tidak ada;Konkoidal;Berat (4-6);Tidak magnetik;Tidak bereaksi;"Hadir luas pada urat hidrotermal, batuan beku, sedimen, metamorf; berasosiasi dengan kalkopirit, galena, sfalerit, kuarsa.";images/Pyrite 1.png|images/Pyrite 2.png|images/Pyrite 3.png
Chalcopyrite;CuFeS₂;Metalik;Kuning | Emas;Hitam | Hijau;Opak;3,5-4;Tidak sempurna;Tidak rata;Berat (4-6);Tidak magnetik;Tidak bereaksi;"Umum pada urat hidrotermal dan porfiri tembaga; berasosiasi dengan pirit, bornit, sfalerit, kuarsa.";images/Chalcopyrite 1.png|images/Chalcopyrite 2.png|images/Chalcopyrite 3.png
Bornite;Cu₅FeS₄;Metalik;Cokelat | Merah;Hitam | Abu-abu;Opak;3-3,5;Tidak sempurna;Konkoidal | Tidak rata;Berat (4-6);Tidak magnetik;Tidak bereaksi;"Khas endapan sulfida tembaga (porfiri Cu); berasosiasi dengan kalkopirit, kalkosit, pirit.";images/Bornite 1.png|images/Bornite 2.png|images/Bornite 3.png
Galena;PbS;Metalik;Abu-abu;Hitam | Abu-abu;Opak;2,5-2,75;Sempurna 3 arah;Subkonkoidal;Sangat berat (>6);Tidak magnetik;Tidak bereaksi;"Khas urat hidrotermal suhu rendah-menengah bersama sfalerit; berasosiasi dengan sfalerit, pirit, kalsit, barit, fluorit.";images/Galena 1.png|images/Galena 2.png|images/Galena 3.png
Sphalerite;ZnS;Damar | Adamantin;Cokelat | Kuning | Hitam;Cokelat | Kuning;Translusen | Opak;3,5-4;Sempurna 6 arah;Konkoidal;Sedang (3-4);Tidak magnetik;Bereaksi;"Khas urat hidrotermal bersama galena; berasosiasi dengan galena, pirit, kalkopirit, kalsit, dolomit.";images/Sphalerite 1.png|images/Sphalerite 2.png|images/Sphalerite 3.png
Magnetite;Fe₃O₄;Metalik | Submetalik;Hitam;Hitam;Opak;5,5-6,5;Tidak ada;Konkoidal | Tidak rata;Berat (4-6);Magnetik;Bereaksi;"Umum pada batuan beku mafik-ultramafik, skarn, dan pasir besi sedimen; berasosiasi dengan ilmenite, hematite, piroksen, hornblende.";images/Magnetite 1.png|images/Magnetite 2.png|images/Magnetite 3.png
Hematite;Fe₂O₃;Metalik;Abu-abu | Hitam | Merah;Merah | Coklat;Opak;5-6,5;Tidak ada;Subkonkoidal;Berat (4-6);Magnetik;Tidak bereaksi;"Khas endapan besi sedimen (banded iron formation) dan hasil oksidasi magnetite/pirit; berasosiasi dengan magnetite, kuarsa (jasper), goethite.";images/Hematite 1.png|images/Hematite 2.png|images/Hematite 3.png
Malachite;Cu₂CO₃(OH)₂;Kaca | Sutera | Tanah;Hijau;Hijau;Opak;3,5-4;Sempurna 1 arah;Subkonkoidal;Sedang (3-4);Tidak magnetik;Bereaksi;"Khas zona oksidasi (gossan) endapan bijih tembaga; berasosiasi dengan azurite, kuprit, kalkosit, limonit.";images/Malachite 1.png|images/Malachite 2.png|images/Malachite 3.png
Azurite;Cu₃(CO₃)₂(OH)₂;Kaca;Biru;Biru;Transparan | Translusen;3,5-4;Sempurna 2 arah;Konkoidal;Sedang (3-4);Tidak magnetik;Bereaksi;"Terbentuk pada zona oksidasi endapan bijih tembaga bersama malachite; berasosiasi dengan malachite, kuprit, kalkopirit.";images/Azurite 1.png|images/Azurite 2.png|images/Azurite 3.png
